iter	Passed	Remaining
0	1	144
1	2	129
2	3	127
3	5	123
4	6	120
5	7	120
6	9	123
7	10	121
8	11	119
9	13	119
10	14	117
11	15	115
12	17	114
13	18	111
14	19	109
15	20	108
16	21	106
17	23	105
18	24	103
19	25	102
20	26	100
21	28	99
22	29	98
23	30	97
24	32	96
25	33	94
26	34	93
27	35	91
28	36	90
29	38	88
30	39	87
31	40	86
32	41	84
33	42	83
34	44	82
35	45	81
36	46	79
37	48	78
38	49	77
39	50	75
40	51	74
41	53	73
42	54	71
43	55	70
44	56	69
45	58	68
46	59	66
47	60	65
48	61	64
49	62	62
50	64	61
51	65	60
52	66	59
53	67	57
54	69	56
55	70	55
56	71	53
57	72	52
58	73	51
59	75	50
60	76	48
61	77	47
62	79	46
63	80	45
64	81	44
65	82	42
66	84	41
67	85	40
68	86	38
69	87	37
70	89	36
71	90	35
72	91	33
73	92	32
74	94	31
75	95	30
76	96	28
77	97	27
78	99	26
79	100	25
80	101	23
81	103	22
82	104	21
83	105	20
84	106	18
85	107	17
86	109	16
87	110	15
88	111	13
89	112	12
90	114	11
91	115	10
92	116	8
93	118	7
94	119	6
95	120	5
96	121	3
97	123	2
98	124	1
99	125	0
